BROOME COMMUNITY COLLEGE,,,,,,,,,,,,,,,,Substation,Morningside Heights,,,
10010659141,,,,,,,,,,,,,,,,Circuit,458 (8104204),34.5 kV (Primary Metered),,
PoD ID: N01000000246777,,,,,,,,,,,,,,,,Line,2978,,,
TOU METER #: NAB0021199940,,,,,,,,,,,,,,,,Pole,P1-2,,,
PSC #120; SC # 7-3 (Mandatory Hourly Pricing),,,,,,,,,,,,,,,,FLOC:,9301-L1143-0411-0050-ED00012,,,
Read,,On-Peak,On-Peak,On-Peak,Off-Peak,Off-Peak,Off-Peak,Reactive,Total Usage,Power,Load,Total Cost,Cost/kWh,Usage/Day,,NYSEG Delivery,,NYSEG Supply,,
Date,Days,Usage (kWh),Demand (kW),Cost ($),Usage (kWh),Demand (kW),Cost ($),(RKVAH),(kWh),Factor,Factor,($),($),(kWh),,Charges ($),Rate ($/kWh),Charges ($),Rate ($/kWh),
3/14/2017,32,"344,099","1,290.24",,"380,062","1,075.60",,"333,200","724,161",0.908,0.731,"$29,852.34",$0.0412,"22,630",,"$5,923.75",$0.00818,"$23,928.59",$0.0330,
4/12/2017,29,"312,954","1,316.68",,"308,381","1,115.08",,"295,400","621,335",0.903,0.678,"$31,006.01",$0.0499,"21,425",,"$8,670.33",$0.01395,"$22,335.68",$0.0359,
5/11/2017,29,"290,548","1,540.56",,"271,846","1,074.76",,"280,000","562,394",0.895,0.525,"$28,457.48",$0.0506,"19,393",,"$10,692.02",$0.01901,"$17,765.46",$0.0316,
6/13/2017,33,"331,548","1,652.68",,"337,443","1,084.84",,"350,000","668,991",0.886,0.511,"$31,727.34",$0.0474,"20,272",,"$10,524.06",$0.01573,"$21,203.28",$0.0317,
7/14/2017,31,"359,863","1,416.20",,"353,617","1,076.84",,"436,800","713,480",0.853,0.677,"$41,893.24",$0.0587,"23,015",,"$11,366.68",$0.01593,"$30,526.56",$0.0428,
8/15/2017,32,"373,398","1,573.32",,"376,083","1,126.84",,"408,800","749,481",0.878,0.620,"$45,274.70",$0.0604,"23,421",,"$11,472.66",$0.01531,"$33,802.04",$0.0451,
9/14/2017,30,"404,703","1,785.00",,"366,647","1,313.32",,"432,600","771,350",0.872,0.600,"$38,650.06",$0.0501,"25,712",,"$11,039.72",$0.01431,"$27,610.34",$0.0358,
10/12/2017,28,"398,835","1,935.36",,"371,645","1,458.64",,"425,600","770,480",0.875,0.592,"$45,661.87",$0.0593,"27,517",,"$10,720.24",$0.01391,"$34,941.63",$0.0454,
11/13/2017,32,"364,981","1,504.40",,"370,488","1,281.40",,"368,200","735,469",0.894,0.637,"$37,526.70",$0.0510,"22,983",,"$9,215.21",$0.01253,"$28,311.49",$0.0385,
12/13/2017,30,"326,639","1,272.56",,"339,820","1,045.36",,"313,600","666,459",0.905,0.727,"$30,665.63",$0.0460,"22,215",,"$7,769.31",$0.01166,"$22,896.32",$0.0344,
TOTAL,365,"4,131,123","1,935.36",,"4,124,222","1,458.64",,"4,309,200","8,255,345",0.886,0.487,"$425,453",$0.0515,"22,617",,"$114,410",$0.01386,"$311,043",$0.0377,
1/12/2018,30,"286,267","1,227.64",,"361,401","1,071.80",,"354,200","647,668",0.877,0.733,"$55,235.92",$0.0853,"21,589",,"$7,561.40",$0.01167,"$47,674.52",$0.0736,
2/12/2018,31,"321,778","1,267.96",,"377,789","1,069.28",,"320,600","699,567",0.909,0.742,"$40,354.55",$0.0577,"22,567",,"$6,953.70",$0.00994,"$33,400.85",$0.0477,
3/14/2018,30,"350,622","1,406.56",,"335,696","1,048.32",,"337,400","686,318",0.897,0.678,"$24,606.81",$0.0359,"22,877",,"$7,388.37",$0.01077,"$17,218.44",$0.0251,
4/12/2018,29,"308,111","1,288.96",,"304,992","1,028.56",,"292,600","613,103",0.902,0.683,"$29,341.36",$0.0479,"21,141",,"$7,952.01",$0.01297,"$21,389.35",$0.0349,
5/11/2018,29,"316,185","1,571.24",,"277,481","1,029.40",,"309,400","593,666",0.887,0.543,"$40,691.97",$0.0685,"20,471",,"$9,495.54",$0.01599,"$31,196.43",$0.0525,
6/13/2018,33,"326,400","1,447.68",,"335,588",994.56,,"361,200","661,988",0.878,0.577,"$41,284.79",$0.0624,"20,060",,"$13,132.16",$0.01984,"$28,152.63",$0.0425,
7/13/2018,30,"342,316","1,508.60",,"329,997","1,140.68",,"438,200","672,313",0.838,0.619,"$43,452.46",$0.0646,"22,410",,"$11,271.05",$0.01676,"$32,181.41",$0.0479,
8/14/2018,32,"393,647","1,639.24",,"578,926","1,212.92",,"463,400","972,573",0.903,0.773,"$52,019.76",$0.0535,"30,393",,"$12,792.93",$0.01315,"$39,226.83",$0.0403,
9/13/2018,30,"451,531","1,992.88",,"444,187","1,477.96",,"526,400","895,718",0.862,0.624,"$57,734.81",$0.0645,"29,857",,"$13,363.78",$0.01492,"$44,371.03",$0.0495,
10/11/2018,28,"388,916","1,800.96",,"375,527","1,358.28",,"428,400","764,443",0.872,0.632,"$48,511.77",$0.0635,"27,302",,"$11,482.05",$0.01502,"$37,029.72",$0.0484,
11/13/2018,33,"367,209","1,408.64",,"370,877",984.84,,"366,800","738,086",0.896,0.662,"$42,001.81",$0.0569,"22,366",,"$9,094.83",$0.01232,"$32,906.98",$0.0446,
12/13/2018,30,"337,662","1,019.30",,"353,322","1,603.80",,"482,454","690,984",0.820,0.942,,$0.0000,"23,033",,"$7,520.10",$0.01088,"$32,021.06",$0.0463,
TOTAL,365,"4,190,644","1,992.88",,"4,445,783","1,603.80",,"4,681,054","8,636,427",0.879,0.495,"$475,236",$0.0550,"23,661",,"$118,008",$0.01366,"$396,769",$0.0459,
1/15/2019,33,"299,909","1,603.80",,"394,795","1,021.40",,"551,524","694,704",0.783,0.547,"$31,108.95",$0.0448,"21,052",,"$6,880.70",$0.0099,"$24,228.25",$0.0349,
